,tweets,len,ID,Date,Source,Likes,RTs
2914,It was due to the perseverance and struggles of Atal Ji that the BJP was built brick by brick. He travelled across… https://t.co/UcKmAxi1EN,139,1.03007E+18,16-08-18 12:15,Twitter Web Client,34925,9487
2915,Atal Ji's passing away is a personal and irreplaceable loss for me. I have countless fond memories with him. He was… https://t.co/OXQaqTfozH,140,1.03007E+18,16-08-18 12:14,Twitter Web Client,42087,11240
2916,"It was Atal Ji's exemplary leadership that set the foundations for a strong, prosperous and inclusive India in the… https://t.co/C7LfqTorcC",139,1.03006E+18,16-08-18 12:13,Twitter Web Client,33388,9139
2917,"India grieves the demise of our beloved Atal Ji. 

His passing away marks the end of an era. He lived for the natio… https://t.co/Fw5VXLwldE",140,1.03006E+18,16-08-18 12:12,Twitter Web Client,46491,14360
2918,"अटल जी आज हमारे बीच में नहीं रहे, लेकिन उनकी प्रेरणा, उनका मार्गदर्शन, हर भारतीय को, हर भाजपा कार्यकर्ता को हमेशा… https://t.co/gojTwlQl1n",138,1.03006E+18,16-08-18 12:09,Twitter Web Client,109185,27600
2919,"लेकिन वो हमें कहकर गए हैं- 
“मौत की उमर क्या है? दो पल भी नहीं,
ज़िन्दगी सिलसिला, आज कल की नहीं 
मैं जी भर जिया,… https://t.co/1ZaC0UrWh7",137,1.03006E+18,16-08-18 12:09,Twitter Web Client,45969,15720
2920,"मैं नि:शब्द हूं, शून्य में हूं, लेकिन भावनाओं का ज्वार उमड़ रहा है। 

हम सभी के श्रद्धेय अटल जी हमारे बीच नहीं रहे।… https://t.co/T8rg9XT53k",140,1.03006E+18,16-08-18 12:08,Twitter Web Client,92543,27941
2921,Spoke to Kerala CM Shri Pinarayi Vijayan again this morning. We discussed the flood situation in the state. Have as… https://t.co/PFtt3DT5tK,140,1.02994E+18,16-08-18 3:45,Twitter for iPhone,17392,3228
2922,Birthday greetings to Delhi CM Shri @arvindkejriwal Ji. May he lead a long and healthy life.,92,1.02991E+18,16-08-18 2:13,Twitter for iPhone,33274,3877
2923,"Ajit Wadekar will be remembered for his rich contribution to Indian cricket. A great batsman &amp; wonderful captain, h… https://t.co/BMS06xvCEV",144,1.02979E+18,15-08-18 17:51,Twitter for Android,25176,4372
2924,Had a detailed discussion with Kerala CM Shri Pinarayi Vijayan regarding the unfortunate flood situation in the sta… https://t.co/rYiE5sPh82,140,1.02971E+18,15-08-18 12:29,Twitter Web Client,15525,3011
2925,"Lovely composition @Shankar_Live ! For many, it brings back memories of ‘Breathless.’

Like your song, 125 crore In… https://t.co/HE6FPKh0kt",140,1.02968E+18,15-08-18 10:53,Twitter for iPhone,24679,6445
2926,"अम्बर से ऊँचा जाना है

एक भारत नया बनाना है https://t.co/zoXi5szZvQ",67,1.02966E+18,15-08-18 9:36,Twitter Media Studio,29869,6783
2927,"During the address from the Red Fort this morning, remembered these words of the great Subramania Bharati. https://t.co/2jCN7qAvzZ",130,1.02966E+18,15-08-18 9:35,Twitter Media Studio,9359,2330
